ano;uf;dt_referencia;dt_geracao;familias_com_ater_iniciada_no_ano;familias_com_ater_recebida_no_ano;arquivo_origem
2023;RS;2025-11-30;2025-12-12;284;659;ater_ano_2023_ref_2025-11-30_gerado_em_20251212192827.xlsx
2023;SC;2025-11-30;2025-12-12;400;492;ater_ano_2023_ref_2025-11-30_gerado_em_20251212192827.xlsx
2023;SE;2025-11-30;2025-12-12;239;470;ater_ano_2023_ref_2025-11-30_gerado_em_20251212192827.xlsx
2023;SP;2025-11-30;2025-12-12;361;361;ater_ano_2023_ref_2025-11-30_gerado_em_20251212192827.xlsx
2023;TO;2025-11-30;2025-12-12;412;716;ater_ano_2023_ref_2025-11-30_gerado_em_20251212192827.xlsx
2024;AC;2025-11-30;2025-12-12;0;142;ater_ano_2024_ref_2025-11-30_gerado_em_20251212192827.xlsx
2024;AL;2025-11-30;2025-12-12;204;1081;ater_ano_2024_ref_2025-11-30_gerado_em_20251212192827.xlsx
2024;AM;2025-11-30;2025-12-12;338;381;ater_ano_2024_ref_2025-11-30_gerado_em_20251212192827.xlsx
2024;AP;2025-11-30;2025-12-12;202;202;ater_ano_2024_ref_2025-11-30_gerado_em_20251212192827.xlsx
2024;BA;2025-11-30;2025-12-12;1966;3160;ater_ano_2024_ref_2025-11-30_gerado_em_20251212192827.xlsx
2024;CE;2025-11-30;2025-12-12;1006;1445;ater_ano_2024_ref_2025-11-30_gerado_em_20251212192827.xlsx
2024;DF;2025-11-30;2025-12-12;316;316;ater_ano_2024_ref_2025-11-30_gerado_em_20251212192827.xlsx
2024;ES;2025-11-30;2025-12-12;292;1150;ater_ano_2024_ref_2025-11-30_gerado_em_20251212192827.xlsx
2024;GO;2025-11-30;2025-12-12;300;2046;ater_ano_2024_ref_2025-11-30_gerado_em_20251212192827.xlsx
2024;MA;2025-11-30;2025-12-12;718;2435;ater_ano_2024_ref_2025-11-30_gerado_em_20251212192827.xlsx
2024;MG;2025-11-30;2025-12-12;659;2283;ater_ano_2024_ref_2025-11-30_gerado_em_20251212192827.xlsx
2024;MS;2025-11-30;2025-12-12;300;1598;ater_ano_2024_ref_2025-11-30_gerado_em_20251212192827.xlsx
2024;MT;2025-11-30;2025-12-12;304;1200;ater_ano_2024_ref_2025-11-30_gerado_em_20251212192827.xlsx
