politica;ano;uf;codigo_ibge;nome_uf;indicador;valor;formato;dt_referencia;dt_geracao;arquivo_origem
PRONAF;2016;SP;35;São Paulo;Operacoes;15774.0;inteiro;2016_12;2026_04_29;pronaf_gaia_historico_anual_2016.xlsx
PRONAF;2016;TO;17;Tocantins;Contratos;4965.0;inteiro;2016_12;2026_04_29;pronaf_gaia_historico_anual_2016.xlsx
PRONAF;2016;TO;17;Tocantins;Valor total dos contratos;125399830.25;moeda;2016_12;2026_04_29;pronaf_gaia_historico_anual_2016.xlsx
PRONAF;2016;TO;17;Tocantins;Operacoes;4965.0;inteiro;2016_12;2026_04_29;pronaf_gaia_historico_anual_2016.xlsx
PRONAF;2017;AC;12;Acre;Contratos;3598.0;inteiro;2017_12;2026_04_29;pronaf_gaia_historico_anual_2017.xlsx
PRONAF;2017;AC;12;Acre;Valor total dos contratos;124060757.22;moeda;2017_12;2026_04_29;pronaf_gaia_historico_anual_2017.xlsx
PRONAF;2017;AC;12;Acre;Operacoes;3598.0;inteiro;2017_12;2026_04_29;pronaf_gaia_historico_anual_2017.xlsx
PRONAF;2017;AL;27;Alagoas;Contratos;41489.0;inteiro;2017_12;2026_04_29;pronaf_gaia_historico_anual_2017.xlsx
PRONAF;2017;AL;27;Alagoas;Valor total dos contratos;229068350.87;moeda;2017_12;2026_04_29;pronaf_gaia_historico_anual_2017.xlsx
PRONAF;2017;AL;27;Alagoas;Operacoes;41489.0;inteiro;2017_12;2026_04_29;pronaf_gaia_historico_anual_2017.xlsx
PRONAF;2017;AM;13;Amazonas;Contratos;1353.0;inteiro;2017_12;2026_04_29;pronaf_gaia_historico_anual_2017.xlsx
PRONAF;2017;AM;13;Amazonas;Valor total dos contratos;34185342.98;moeda;2017_12;2026_04_29;pronaf_gaia_historico_anual_2017.xlsx
PRONAF;2017;AM;13;Amazonas;Operacoes;1353.0;inteiro;2017_12;2026_04_29;pronaf_gaia_historico_anual_2017.xlsx
PRONAF;2017;AP;16;Amapá;Contratos;359.0;inteiro;2017_12;2026_04_29;pronaf_gaia_historico_anual_2017.xlsx
PRONAF;2017;AP;16;Amapá;Valor total dos contratos;11543818.89;moeda;2017_12;2026_04_29;pronaf_gaia_historico_anual_2017.xlsx
PRONAF;2017;AP;16;Amapá;Operacoes;359.0;inteiro;2017_12;2026_04_29;pronaf_gaia_historico_anual_2017.xlsx
